CustomerID,first_purchase,last_purchase,total_orders,total_revenue,total_items,day_since_last,churned,avg_order_value,R_score,F_score,M_score,RFM_score,segment
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,74215,325,1,77183.6,1,1,4,114,High value lapsed
12347,2010-12-07 14:57:00,2011-12-07 15:52:00,7,4310.0,2458,2,0,615.7142857142857,4,4,4,444,Champions
12348,2010-12-16 19:09:00,2011-09-25 13:13:00,4,1797.24,2341,75,0,449.31,2,3,4,234,At risk
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,1,1757.55,631,18,0,1757.55,3,1,4,314,Promising
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,197,310,1,334.4,1,1,2,112,Lost
12352,2011-02-16 12:33:00,2011-11-03 14:37:00,8,2506.04,536,36,0,313.255,3,4,4,344,Loyal customers
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,1,89.0,20,204,1,89.0,1,1,1,111,Lost
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,530,232,1,1079.4,1,1,3,113,High value lapsed
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,1,459.4,240,214,1,459.4,1,1,2,112,Lost
12356,2011-01-18 09:50:00,2011-11-17 08:40:00,3,2811.43,1591,22,0,937.1433333333333,3,3,4,334,Loyal customers
12357,2011-11-06 16:07:00,2011-11-06 16:07:00,1,6207.67,2708,33,0,6207.67,3,1,4,314,Promising
12358,2011-07-12 10:04:00,2011-12-08 10:26:00,2,1168.06,248,1,0,584.03,4,2,3,423,Promising
12359,2011-01-12 12:43:00,2011-10-13 12:47:00,4,6310.03,1609,57,0,1577.5075,2,3,4,234,At risk
12360,2011-05-23 09:43:00,2011-10-18 15:22:00,3,2662.06,1165,52,0,887.3533333333334,2,3,4,234,At risk
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,1,189.9,91,287,1,189.9,1,1,1,111,Lost
12362,2011-02-17 10:30:00,2011-12-06 15:40:00,10,5226.23,2229,3,0,522.6229999999999,4,4,4,444,Champions
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,552.0,408,109,1,276.0,2,2,2,222,Lost
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1313.1,1506,7,0,328.275,4,3,3,433,Loyal customers
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,2,641.38,174,291,1,320.69,1,2,2,122,Lost
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,173,4,0,168.9,4,1,1,411,Promising
12370,2010-12-14 12:58:00,2011-10-19 14:51:00,4,3541.94,2352,51,0,885.485,2,3,4,234,At risk
12371,2011-10-11 10:43:00,2011-10-26 10:16:00,2,1887.96,591,44,0,943.98,3,2,4,324,Promising
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,3,1298.04,794,71,0,432.68,2,3,3,233,At risk
12373,2011-02-01 13:10:00,2011-02-01 13:10:00,1,364.6,197,311,1,364.6,1,1,2,112,Lost
12374,2011-11-14 15:37:00,2011-11-14 15:37:00,1,742.9300000000001,342,25,0,742.9300000000001,3,1,3,313,Promising
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,2,457.5,178,10,0,228.75,4,2,2,422,Promising
12377,2010-12-20 09:37:00,2011-01-28 15:45:00,2,1628.12,944,315,1,814.06,1,2,3,123,High value lapsed
12378,2011-08-02 10:34:00,2011-08-02 10:34:00,1,4008.62,2529,129,1,4008.62,2,1,4,214,High value lapsed
12379,2011-06-22 16:32:00,2011-09-19 10:09:00,2,852.24,407,81,0,426.12,2,2,3,223,High value lapsed
12380,2011-06-07 09:49:00,2011-11-18 11:27:00,4,2724.81,1127,21,0,681.2025,3,3,4,334,Loyal customers
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,5,1845.31,808,4,0,369.062,4,3,4,434,Loyal customers
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1850.56,1532,184,1,370.11199999999997,1,3,4,134,Lost
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,2,585.27,126,28,0,292.635,3,2,2,322,Promising
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,2,401.9,354,337,1,200.95,1,2,2,122,Lost
12388,2011-01-17 11:12:00,2011-11-24 12:30:00,6,2780.66,1462,15,0,463.4433333333333,4,4,4,444,Champions
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,549.84,353,79,0,549.84,2,1,2,212,Lost
12391,2011-11-18 12:07:00,2011-11-18 12:07:00,1,439.66,293,21,0,439.66,3,1,2,312,Promising
12393,2011-01-11 09:47:00,2011-09-28 15:41:00,4,1582.6000000000001,816,72,0,395.65000000000003,2,3,3,233,At risk
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,2,1272.48,819,63,0,636.24,2,2,3,223,High value lapsed
12395,2010-12-03 16:35:00,2011-11-20 15:21:00,12,3018.63,2118,19,0,251.5525,3,4,4,344,Loyal customers
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,2,2409.9,1263,35,0,1204.95,3,2,4,324,Promising
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1635.6599999999999,1394,45,0,1635.6599999999999,3,1,3,313,Promising
12399,2011-03-23 09:42:00,2011-08-12 13:15:00,4,1108.65,1178,119,1,277.1625,2,3,3,233,At risk
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,84.3,11,303,1,84.3,1,1,1,111,Lost
12402,2011-01-20 13:49:00,2011-01-20 13:49:00,1,225.6,94,323,1,225.6,1,1,1,111,Lost
12403,2011-10-21 10:51:00,2011-10-21 10:51:00,1,427.7,96,49,0,427.7,3,1,2,312,Promising
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1710.39,857,148,1,1710.39,1,1,4,114,High value lapsed
12406,2011-06-09 10:23:00,2011-11-17 19:22:00,2,3415.3,1818,22,0,1707.65,3,2,4,324,Promising
12407,2011-03-20 13:21:00,2011-10-21 10:11:00,5,1708.1200000000001,1416,49,0,341.624,3,3,4,334,Loyal customers
12408,2011-03-24 14:46:00,2011-11-07 12:27:00,5,2888.55,1409,32,0,577.71,3,3,4,334,Loyal customers
12409,2011-06-10 12:19:00,2011-09-22 10:38:00,3,11072.67,5551,78,0,3690.89,2,3,4,234,At risk
